purchase_id,item_id,supplier_id,purchase_date,quantity,total_cost
PUR00001,ITM0279,SUPX00,2024-12-10 06:57:12.737528,68,145539.23
PUR00002,ITM0160,SUPX00,2023-07-11 14:51:54.078444,241,67191.69
PUR00003,ITM0240,SUPX00,2022-02-01 08:45:09.226589,17,36255.93
PUR00004,ITM0156,SUPX00,2022-04-25 03:27:53.488765,237,54685.85
PUR00005,ITM0410,SUPX00,2024-08-18 02:10:43.029040,221,464362.59
PUR00006,ITM0222,SUPX00,2022-05-15 11:52:19.497776,203,336561.88
PUR00007,ITM0337,SUPX00,2022-10-07 16:16:05.372041,189,78236.97
PUR00008,ITM0285,SUPX00,2021-01-27 11:14:40.025392,40,6885.76
PUR00009,ITM0386,SUPX00,2022-05-10 07:39:40.654563,131,404240.67
PUR00010,ITM0358,SUPX00,2022-06-15 02:50:49.622061,178,98770.98
PUR00011,ITM0422,SUPX01,2021-01-25 03:22:11.709597,129,213109.06
PUR00012,ITM0268,SUPX01,2024-11-10 04:00:21.536995,8,9550.91
PUR00013,ITM0091,SUPX01,2023-11-30 05:10:48.170342,192,70028.16
PUR00014,ITM0296,SUPX01,2023-12-26 16:17:33.996224,273,191319.24
PUR00015,ITM0357,SUPX01,2023-03-01 20:06:59.920598,299,581923.28
PUR00016,ITM0308,SUPX01,2022-05-30 20:29:10.941316,225,42515.22
PUR00017,ITM0318,SUPX01,2023-04-30 07:09:04.284322,218,304158.78
PUR00018,ITM0317,SUPX01,2020-06-10 04:36:26.796330,2,3434.3
PUR00019,ITM0302,SUPX01,2024-05-15 20:43:28.711552,175,332559.18
PUR00020,ITM0233,SUPX01,2024-07-17 00:44:19.504121,177,383990.15
PUR00021,ITM0584,SUPX02,2020-09-23 04:38:12.983040,93,218000.2
PUR00022,ITM0413,SUPX02,2022-12-05 16:31:27.531241,271,54578.11
PUR00023,ITM0050,SUPX02,2020-06-17 22:10:47.861953,94,260060.93
PUR00024,ITM0361,SUPX02,2022-06-11 22:55:22.906706,236,183533.55
PUR00025,ITM0514,SUPX02,2023-02-19 20:00:06.233419,2,3105.15
PUR00026,ITM0502,SUPX02,2023-11-29 06:25:45.662779,124,169974.75
PUR00027,ITM0066,SUPX02,2021-03-24 09:33:06.436123,213,175953.7
PUR00028,ITM0486,SUPX02,2021-11-15 19:40:00.476939,157,127409.9
PUR00029,ITM0215,SUPX02,2020-11-22 09:38:43.202667,80,159121.77
PUR00030,ITM0138,SUPX02,2023-11-03 23:00:40.575819,95,75110.69
PUR00031,ITM0384,SUPX03,2020-10-20 11:54:38.667027,189,85517.08
PUR00032,ITM0479,SUPX03,2022-09-12 13:40:15.501616,122,19841.47
PUR00033,ITM0002,SUPX03,2021-12-31 08:11:31.275497,44,87950.36
PUR00034,ITM0509,SUPX03,2020-03-09 13:39:47.497702,260,185408.16
PUR00035,ITM0142,SUPX03,2020-07-04 11:49:45.400996,295,389052.55
PUR00036,ITM0028,SUPX03,2020-07-21 08:49:03.809640,188,109718.21
PUR00037,ITM0257,SUPX03,2020-10-04 03:05:59.805440,261,69935.98
PUR00038,ITM0085,SUPX03,2021-07-02 02:30:55.309461,45,9294.33
PUR00039,ITM0243,SUPX03,2024-12-05 14:24:10.185540,60,145823.2
PUR00040,ITM0206,SUPX03,2022-01-08 01:22:11.536520,264,534340.01
PUR00041,ITM0438,SUPX04,2021-06-03 11:38:31.544310,36,79825.21
PUR00042,ITM0271,SUPX04,2021-05-10 00:32:06.709461,10,23547.94
PUR00043,ITM0560,SUPX04,2023-03-26 09:10:16.874165,292,311029.18
PUR00044,ITM0479,SUPX04,2023-02-03 11:07:31.240602,103,17845.17
PUR00045,ITM0558,SUPX04,2022-01-15 20:20:53.971802,111,36827.94
PUR00046,ITM0177,SUPX04,2022-08-08 16:13:14.314278,273,401448.8
PUR00047,ITM0420,SUPX04,2020-10-13 18:49:34.725587,21,62273.86
PUR00048,ITM0475,SUPX04,2022-09-22 16:16:45.022843,205,393602.11
PUR00049,ITM0387,SUPX04,2021-03-15 20:12:41.153902,97,247594.7
PUR00050,ITM0254,SUPX04,2020-12-25 10:36:14.986820,137,43070.49
PUR00051,ITM0246,SUPX05,2020-05-28 23:45:49.500383,55,86445.21
PUR00052,ITM0390,SUPX05,2024-11-17 07:57:28.979035,50,52534.28
PUR00053,ITM0382,SUPX05,2021-04-20 14:40:09.114305,20,60764.18
PUR00054,ITM0475,SUPX05,2022-09-11 20:07:27.884912,257,504472.98
PUR00055,ITM0534,SUPX05,2021-07-04 11:04:18.585154,205,348879.23
PUR00056,ITM0534,SUPX05,2022-07-10 14:18:07.110060,192,306932.51
PUR00057,ITM0347,SUPX05,2023-08-09 09:04:02.737003,291,762644.2
PUR00058,ITM0199,SUPX05,2020-07-24 22:03:10.027261,124,349004.52
PUR00059,ITM0231,SUPX05,2020-09-18 11:42:48.306068,126,105623.98
PUR00060,ITM0434,SUPX05,2020-01-24 21:33:00.999862,193,79761.48
PUR00061,ITM0332,SUPX06,2021-01-15 21:15:47.696942,238,669057.02
PUR00062,ITM0336,SUPX06,2024-12-07 21:05:27.956107,248,294008.64
PUR00063,ITM0230,SUPX06,2022-04-28 09:36:15.746773,225,368367.84
PUR00064,ITM0234,SUPX06,2024-11-13 14:57:51.129150,189,104616.74
PUR00065,ITM0369,SUPX06,2023-05-22 18:17:56.663579,261,474244.67
PUR00066,ITM0157,SUPX06,2024-11-09 04:53:22.785502,222,429534.6
PUR00067,ITM0539,SUPX06,2022-08-12 16:14:23.370661,107,87728.21
PUR00068,ITM0202,SUPX06,2023-12-21 17:31:09.746454,89,80512.27
PUR00069,ITM0089,SUPX06,2020-06-04 15:58:22.943887,90,226868.83
PUR00070,ITM0315,SUPX06,2024-11-25 14:53:09.512111,57,49837.4
PUR00071,ITM0170,SUPX07,2022-05-09 23:46:54.311752,8,10198.71
PUR00072,ITM0437,SUPX07,2022-06-12 09:21:53.043652,158,341913.15
PUR00073,ITM0294,SUPX07,2022-07-28 08:58:23.094242,127,35536.38
PUR00074,ITM0345,SUPX07,2023-09-07 07:23:27.123016,5,1630.66
PUR00075,ITM0363,SUPX07,2023-12-02 13:49:16.646078,237,155704.2
PUR00076,ITM0180,SUP031,2023-02-14 12:10:55.958303,36,15125.2
PUR00077,ITM0508,SUP028,2022-06-10 07:00:34.791404,113,329928.36
PUR00078,ITM0489,SUP030,2022-07-27 05:52:08.376811,155,19372.07
PUR00079,ITM0300,SUP034,2021-01-17 02:25:52.887110,32,98548.24
PUR00080,ITM0535,SUP045,2021-06-03 15:11:30.217061,118,339676.23
PUR00081,ITM0326,SUP017,2023-01-29 11:55:02.996652,4,4831.08
PUR00082,ITM0077,SUP051,2022-08-24 23:22:44.746772,267,306172.61
PUR00083,ITM0223,SUP035,2021-11-29 13:53:20.237300,230,209569.46
PUR00084,ITM0188,SUP036,2021-06-21 01:27:32.923434,201,153441.24
PUR00085,ITM0478,SUP006,2020-10-09 02:41:28.433476,298,155621.68
PUR00086,ITM0023,SUP045,2021-11-01 07:31:11.340620,12,6228.76
PUR00087,ITM0037,SUP029,2024-12-23 15:28:07.349280,26,68885.4
PUR00088,ITM0018,SUP058,2023-08-22 14:06:04.977061,207,495979.8
PUR00089,ITM0553,SUP023,2021-07-30 22:53:44.265185,109,149609.69
