supplier_id,supplier_name,contact_number,email,city,country
SUP001,PrimeMed Traders,9311611860,,Pune,India
SUP002,Nova Medical Supplies,9490010378,nova370@supplier.com,Pune,India
SUP003,MedLife Distributors,9646255271,medlife618@supplier.com,Bangalore,India
SUP004,LifeLine Healthcare,9555301332,,Chennai,India
SUP005,TrustCare Supplies,9736399805,trustcare662@supplier.com,Chennai,India
SUP006,TrustCare Supplies,9698041907,trustcare874@supplier.com,Bangalore,India
SUP007,Nova Medical Supplies,9794151733,nova340@supplier.com,Chennai,India
SUP008,PrimeMed Traders,9531132610,primemed842@supplier.com,Delhi,India
SUP009,Nova Medical Supplies,9252971728,nova557@supplier.com,Bangalore,India
SUP010,CityMeds Wholesale,9394844779,citymeds831@supplier.com,Chennai,India
SUP011,Sunrise Pharma,9898060977,,Hyderabad,India
SUP012,Elite MedStore,9686280253,elite525@supplier.com,Hyderabad,India
SUP013,HealthPlus Pharma,9941099639,healthplus617@supplier.com,Chennai,India
SUP014,CareWell Surgicals,9933692130,carewell214@supplier.com,Pune,India
SUP015,TrustCare Supplies,9974787769,trustcare836@supplier.com,Delhi,India
SUP016,TrustCare Supplies,9792206773,trustcare105@supplier.com,Hyderabad,India
SUP017,PrimeMed Traders,9860107589,primemed38@supplier.com,Delhi,India
SUP018,HealthPlus Pharma,9278307626,,Mumbai,India
SUP019,PrimeMed Traders,9837381894,primemed590@supplier.com,Delhi,India
SUP020,TrustCare Supplies,9689917954,trustcare406@supplier.com,Bangalore,India
SUP021,CityMeds Wholesale,9101141735,citymeds473@supplier.com,Mumbai,India
SUP022,Elite MedStore,9002223984,elite410@supplier.com,Chennai,India
SUP023,LifeLine Healthcare,9788544222,lifeline153@supplier.com,Chennai,India
SUP024,MedLife Distributors,9462972289,medlife824@supplier.com,Pune,India
SUP025,Elite MedStore,9915165355,elite363@supplier.com,Hyderabad,India
SUP026,LifeLine Healthcare,9793335486,lifeline45@supplier.com,Delhi,India
SUP027,TrustCare Supplies,9965999086,trustcare270@supplier.com,Hyderabad,India
SUP028,Sunrise Pharma,9804276321,sunrise24@supplier.com,Delhi,India
SUP029,HealthPlus Pharma,9187827323,healthplus299@supplier.com,Mumbai,India
SUP030,TrustCare Supplies,9883636064,trustcare92@supplier.com,Hyderabad,India
SUP031,TrustCare Supplies,9627097517,,Chennai,India
SUP032,Nova Medical Supplies,9427888736,,Pune,India
SUP033,Elite MedStore,9056132629,elite47@supplier.com,Bangalore,India
SUP034,Elite MedStore,9383605353,elite381@supplier.com,Mumbai,India
SUP035,HealthPlus Pharma,9017377654,healthplus812@supplier.com,Delhi,India
SUP036,Sunrise Pharma,9303308515,sunrise612@supplier.com,Mumbai,India
SUP037,TrustCare Supplies,9846132703,,Bangalore,India
SUP038,MedLife Distributors,9599906818,,Chennai,India
SUP039,Sunrise Pharma,9712077218,sunrise579@supplier.com,Mumbai,India
SUP040,CityMeds Wholesale,9269231730,citymeds658@supplier.com,Hyderabad,India
SUP041,CityMeds Wholesale,9482671687,citymeds994@supplier.com,Hyderabad,India
SUP042,HealthPlus Pharma,9987020014,healthplus423@supplier.com,Hyderabad,India
SUP043,PrimeMed Traders,9283574799,primemed712@supplier.com,Pune,India
SUP044,LifeLine Healthcare,9369594936,,Bangalore,India
SUP045,PrimeMed Traders,9833753161,,Chennai,India
SUP046,TrustCare Supplies,9595796602,trustcare843@supplier.com,Hyderabad,India
SUP047,MedLife Distributors,9927950851,,Hyderabad,India
SUP048,CityMeds Wholesale,9538035603,citymeds625@supplier.com,Pune,India
SUP049,HealthPlus Pharma,9831211428,healthplus156@supplier.com,Hyderabad,India
SUP050,TrustCare Supplies,9237276583,trustcare808@supplier.com,Delhi,India
SUP051,Sunrise Pharma,9340937277,sunrise620@supplier.com,Pune,India
SUP052,MedLife Distributors,9297371089,medlife721@supplier.com,Delhi,India
SUP053,MedLife Distributors,9156111009,medlife864@supplier.com,Bangalore,India
SUP054,HealthPlus Pharma,9599626063,healthplus246@supplier.com,Mumbai,India
SUP055,CareWell Surgicals,9690153101,carewell57@supplier.com,Hyderabad,India
SUP056,CityMeds Wholesale,9710791575,citymeds354@supplier.com,Hyderabad,India
SUP057,PrimeMed Traders,9892118977,primemed636@supplier.com,Bangalore,India
SUP058,HealthPlus Pharma,9059981900,healthplus818@supplier.com,Mumbai,India
SUP059,Nova Medical Supplies,9738916568,nova407@supplier.com,Pune,India
SUP060,Nova Medical Supplies,9274922554,,Mumbai,India
